,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
131,Adolfokastro,@adolfocastrob,2021-09-02T23:06:28.000Z,"Gool de Estrada , #Ecuador  2 & #Paraguay 0 #EliminatoriasSudamericanas","51 views
0:04 / 0:36",,,,,[],https://twitter.com/adolfocastrob/status/1433567027789185029
132,Una Más y Te Expulso,@UmytexOficial,2021-09-02T20:53:26.000Z,"Hoy por las Eliminatorias Sudamericanas 
Ecuador vs Paraguay
Hoy a las 16:00
#Qatar2022 
#EliminatoriasSudamericanas 
#EliminatoriasQatar2022",,,,,,['https://pbs.twimg.com/media/E-TvKdKVcAMKAXq?format=jpg&name=small'],https://twitter.com/UmytexOficial/status/1433533546925334532
133,Andrew RuizR,@AndrewRuizR,2021-09-02T22:46:59.000Z,#Ecuador 0  #Paraguay 0 en 87 minutos #EliminatoriasQatar2022,,,,,,['https://pbs.twimg.com/media/E-UJJuvUcAc2vyd?format=jpg&name=small'],https://twitter.com/AndrewRuizR/status/1433562123293048832
134,Patriota Ecuador #ConLaMafiaNoTeUnes,@patriotaEcuador,2021-09-02T23:57:27.000Z,"APOYEN A FERNANDO VILLAVICENCIO #EcuadorEsFernandoVillavicencio
#FueraCerdayBella
#EcuadorApoyaAVillavicencio
#EcuadorEsFernandoVillavicencio
#FueraCerdayBella
#EcuadorApoyaAVillavicencio",,🥊,1,2,2,"['https://pbs.twimg.com/media/E-UZRsbXIAAx3Km?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-UZSQiXsAAaiVI?format=jpg&name=360x360']",https://twitter.com/patriotaEcuador/status/1433579860111282177
135,DM Todo Fútbol,@DMTodofutbol,2021-09-02T20:16:18.000Z,"Alineación #Ecuador 
@LaTri",,,1,,,['https://pbs.twimg.com/media/E-TmqqVVcBsYz5a?format=jpg&name=small'],https://twitter.com/DMTodofutbol/status/1433524204918304768
136,Jonnathan Sanmartin,@monigo7e,2021-09-02T23:21:52.000Z,#EliminatoriasQatar2022 #LaTri #EcuadorVsParaguay  belleza carajo Bien Ecuador  nada como vivirlo en el estadio,,,,,4,['https://pbs.twimg.com/ext_tw_video_thumb/1433570703979200517/pu/img/8nw1JyYbqNo4Vy7L.jpg'],https://twitter.com/monigo7e/status/1433570905112948737
137,DM Todo Fútbol,@DMTodofutbol,2021-09-02T21:01:01.000Z,"ARRANCA el partido!!!!
#Ecuador - #Paraguay",GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/E-Tw2cbVcBAd0QY.jpg'],https://twitter.com/DMTodofutbol/status/1433535456440832002
138,Gustavo Mateus Acosta,@GustavoMateusA,2021-09-02T19:54:48.000Z,".
@LassoGuillermo
 desconoce la realidad que vive nuestro país, #Ecuador va más allá de su entorno millonario. Los indicadores de pobreza, desempleo y migración aumentan cada día. Gobierne para los ecuatorianos modestos, sólo dueños del hambre, la desesperación y el desempleo!",,,14,42,54,['https://pbs.twimg.com/ext_tw_video_thumb/1433518252014047232/pu/img/blbT1opIhl7MSy4L.jpg'],https://twitter.com/GustavoMateusA/status/1433518793171558412
139,Gustavo Mateus Acosta,@GustavoMateusA,2021-09-02T19:54:48.000Z,".
@LassoGuillermo
 desconoce la realidad que vive nuestro país, #Ecuador va más allá de su entorno millonario. Los indicadores de pobreza, desempleo y migración aumentan cada día. Gobierne para los ecuatorianos modestos, sólo dueños del hambre, la desesperación y el desempleo!","0:09
406 views",,14,42,54,[],https://twitter.com/GustavoMateusA/status/1433518793171558412
140,Cecy,@CecyGonzalezok,2021-09-02T22:47:10.000Z,"#EliminatoriasEnTyCSports mirando el partido de Ecuador  Paraguay  por canal  
@TyCSports
 ",,🌸 🌸 🆚 😁 😎,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1433561906040561670/pu/img/lIr-JJiotMiKpqVz.jpg'],https://twitter.com/CecyGonzalezok/status/1433562169505878016
141,UV TELEVISIÓN.,@UVtelevision,2021-09-02T19:38:24.000Z,"#ECUADOR | Se niega la acción de protección que presentó #FreddyCarrión en contra de 
@VillaFernando_
.",,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1433514408945324033/pu/img/YO2fO9Ak_4zxOzMV.jpg'],https://twitter.com/UVtelevision/status/1433514666513379336
142,david lema,@1_Boldalem,2021-09-02T21:39:28.000Z,"#EliminatoriasEnTyCSports la razón por la cual no fue todo el aforo permitido para el partido Ecuador vs Paraguay, es por los excesivos precios q se pusieron.",,,,,1,['https://pbs.twimg.com/media/E-T5suEVUAEvuUB?format=jpg&name=small'],https://twitter.com/1_Boldalem/status/1433545132540710912
143,Leonora,@LeonoraPatrici1,2021-09-02T20:57:26.000Z,"#sismo M4.3,  Peru-ecuador Border Region.",,,,,,['https://pbs.twimg.com/media/E-TwFEzXEAEgZEs?format=jpg&name=small'],https://twitter.com/LeonoraPatrici1/status/1433534554011275267
144,Jean,@Jean_7jene,2021-09-02T22:54:58.000Z,Golazooooooo de Estrada golazooooooo #Ecuador #Latri,,,,,1,[],https://twitter.com/Jean_7jene/status/1433564135619379200
145,Deporte Manaba,@DeporteManaba,2021-09-02T20:27:32.000Z,"Formaciones de #Ecuador y #Paraguay.
#EliminatoriasSudamericanas",,,,,,"['https://pbs.twimg.com/media/E-TpOAdUUAAlj7a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TpOvBVcAQNiBN?format=jpg&name=360x360']",https://twitter.com/DeporteManaba/status/1433527029832601605
146,ARMY ECUADOR |,@ARMY_ECUADOREC,2021-09-02T23:06:28.000Z,"ARMY EC  pasa dejando tú votito y captura de stream porque hoy se celebra la victoria de Ecuador con stream y votaciones 

1RT = 1Voto

I vote BTS (
@BTS_twt
) as the #ArtistoftheSummer 
@965TDY",,🦕 💜 🐋 💫 🥳 💜,18,80,78,"['https://pbs.twimg.com/media/E-UNmmHVgAAbZsK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-UNnM0VIAQR6IQ?format=jpg&name=small']",https://twitter.com/ARMY_ECUADOREC/status/1433567027445354498
